eth_price,issuer,net_flow,net_flow_usd,net_tvl,net_tvl_usd,time,tvl,tvl_usd
0,Fidelity,,,21483.677036189998,50370629.179051064,2025-05-10 00:00:00,0.0,0.0
0,Fidelity,,,21483.677036189998,55444858.85822879,2025-05-11 00:00:00,0.0,0.0
0,Fidelity,,,18236.64703619,45817204.91431267,2025-05-12 00:00:00,-3247.03,-8157740.7611
0,Fidelity,,,18236.64703619,45509735.045282505,2025-05-13 00:00:00,0.0,0.0
0,Fidelity,,,18236.64703619,48847041.45290528,2025-05-14 00:00:00,0.0,0.0
0,Fidelity,,,7996.325845699999,20873529.02435682,2025-05-15 00:00:00,-10240.32119049,-26731232.032443188
0,Fidelity,,,7996.325848947898,20386152.972341727,2025-05-16 00:00:00,3.247898743387e-06,0.008280322972340553
0,Fidelity,,,7996.325849947898,20317864.352132615,2025-05-17 00:00:00,1e-06,0.0025409
0,Fidelity,,,7996.325849947898,19814975.41942939,2025-05-18 00:00:00,0.0,0.0
0,Fidelity,,,13241.319206552891,33097471.835931342,2025-05-19 00:00:00,5244.993356604993,13110175.594435576
0,Fidelity,,,13241.319212552891,33500405.194566686,2025-05-20 00:00:00,6e-06,0.01517994
0,Fidelity,,,11493.129950192892,29020612.849435057,2025-05-21 00:00:00,-1748.1892623599988,-4414247.815029492
0,Fidelity,,,11493.129950192892,29347707.327817548,2025-05-22 00:00:00,0.0,0.0
0,Fidelity,,,27477.237407472894,73214747.70645598,2025-05-23 00:00:00,15984.10745728,42590613.36637
0,Fidelity,,,27477.237410472895,69456685.95381927,2025-05-24 00:00:00,3e-06,0.00758337
0,Fidelity,,,27477.237410472895,69592148.7342529,2025-05-25 00:00:00,0.0,0.0
0,Fidelity,,,27477.237410472895,70141968.25483647,2025-05-26 00:00:00,0.0,0.0
0,Fidelity,,,27477.237410472895,70491753.4870718,2025-05-27 00:00:00,0.0,0.0
0,Fidelity,,,28725.971214423094,76507889.95335804,2025-05-28 00:00:00,1248.7338039502001,3325840.1514268443
0,Fidelity,,,38465.99833956309,103210043.44479871,2025-05-29 00:00:00,9740.027125139999,26133953.78081939
0,Fidelity,,,52951.02393099459,139514298.83290595,2025-05-30 00:00:00,14485.0255914315,38164855.72779189
0,Fidelity,,,52951.02393106579,134201722.60208969,2025-05-31 00:00:00,7.12e-08,0.00018045284
0,Fidelity,,,52951.023931105796,134132356.76084132,2025-06-01 00:00:00,4e-08,0.0001013256
