amount,amount_net_flow,amount_usd,amount_usd_net_flow,etf_ticker,issuer,time
221.84295720000006,,26069577.915820092,,BTC,Grayscale Mini,2025-07-11 00:00:00.000 UTC
0.0,,0.0,,BTC,Grayscale Mini,2025-07-01 00:00:00.000 UTC
0.0,-0.00013103999999999997,0.0,-13.573182200400005,IBIT,BlackRock,2025-06-21 00:00:00.000 UTC
-93.05928071000017,,-10088621.763267577,,ARKB,21Shares,2025-07-08 00:00:00.000 UTC
0.0,,0.0,,BRRR,Valkyrie,2025-05-22 00:00:00.000 UTC
1.1823441531388923e-13,,-1.023119649410205,,BTC,Grayscale Mini,2025-06-12 00:00:00.000 UTC
0.0,,0.0,,BITB,Bitwise,2025-06-23 00:00:00.000 UTC
0.0,,0.0,,FBTC,Fidelity,2025-05-17 00:00:00.000 UTC
0.0,,0.0,,BTCW,WisdomTree,2025-07-14 00:00:00.000 UTC
0.0,,0.0,,BRRR,Valkyrie,2025-05-01 00:00:00.000 UTC
0.0,,0.0,,BRRR,Valkyrie,2025-06-26 00:00:00.000 UTC
0.0,,0.0,,HODL,VanEck,2025-05-07 00:00:00.000 UTC
0.0,,0.0,,BTCW,WisdomTree,2025-05-10 00:00:00.000 UTC
0.0,,0.0,,BRRR,Valkyrie,2025-05-04 00:00:00.000 UTC
3e-06,,0.29008779,,ARKB,21Shares,2025-05-03 00:00:00.000 UTC
0.0,0.0,0.0,0.0,IBIT,BlackRock,2025-05-31 00:00:00.000 UTC
0.0,,0.0,,EZBC,Franklin Templeton,2025-05-04 00:00:00.000 UTC
1522.01424417,2161.4268469899994,162294176.92367658,230636872.75165874,IBIT,BlackRock,2025-06-27 00:00:00.000 UTC
49.8686772,,5088631.238754636,,ARKB,21Shares,2025-05-15 00:00:00.000 UTC
-0.015999999998712156,,-1739.4672017097473,,GBTC,Grayscale,2025-05-21 00:00:00.000 UTC
3566.079452069999,3548.5663751799975,425562550.6571904,423771042.93920404,IBIT,BlackRock,2025-07-16 00:00:00.000 UTC
0.0,,0.0,,BTCO,Invesco,2025-07-09 00:00:00.000 UTC
0.0,,0.0,,BTCO,Invesco,2025-05-19 00:00:00.000 UTC
3154.0610740800003,2835.9621802900006,321795825.0256566,288284988.2881775,IBIT,BlackRock,2025-05-12 00:00:00.000 UTC
0.0,,0.0,,FBTC,Fidelity,2025-07-16 00:00:00.000 UTC
0.0,,0.0,,BTC,Grayscale Mini,2025-06-01 00:00:00.000 UTC
0.0,,0.0,,EZBC,Franklin Templeton,2025-07-01 00:00:00.000 UTC
