name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
Hydradex V3,['Hydra Chain'],Dexs,3883,25625.0,81032.0,-13.73,-8.4,-34.29
HiveSwap V3,['MAP Protocol'],Dexs,3838,10795.0,77071.0,0.0,52.36,1353.79
RadioShack,"['Polygon', 'BSC', 'Avalanche']",Dexs,3724,27681.0,73162.0,-26.08,-27.63,130.3
BenSwap,['smartBCH'],Dexs,3654,27221.0,85706.0,0.0,-14.39,-72.84
LiquidLaunch,['Hyperliquid L1'],Launchpad,3622,14886.0,1097333.0,5305.97,-89.4,-97.11
Solidly V2,['Ethereum'],Dexs,3282,49971.0,124112.0,0.0,-83.54,2261.15
Rockswap,['Bitrock'],Dexs,3255,13803.0,32962.0,,-46.39,865.88
StellaSwap V3,['Moonbeam'],Dexs,3235,37000.0,145822.0,0.0,-71.95,106.84
MinMax Finance,['IoTeX'],Dexs,3216,12021.0,17668.0,-0.89,387.27,3434.07
Equilibre,['Kava'],Dexs,3128,25368.0,114490.0,-0.86,-5.15,62.41
Shido Dex,['Shido'],Dexs,3074,37680.0,216441.0,0.0,-52.96,91.53
Ociswap Basic,['Radix'],Dexs,3070,62815.0,323884.0,-67.36,-71.74,-72.55
ProtoFi,['Fantom'],Dexs,3009,69183.0,188373.0,0.0,-89.05,-13.24
Swapsicle V2,"['Mantle', 'Telos', 'Taiko']",Dexs,2934,17489.0,49662.0,0.0,2.52,800.0
Morpheus Swap,['Fantom'],Dexs,2835,63393.0,152560.0,0.0,-90.71,49.6
LineHub V3,['Linea'],Dexs,2581,9754.0,25339.0,31.95,26.03,684.5
Raindex,"['Arbitrum', 'Base', 'BSC', 'Ethereum', 'Flare', 'Linea', 'Polygon']",Dexs,2500,11875.0,60536.0,114.96,-19.82,-40.0
WannaSwap,['Aurora'],Dexs,2403,15022.0,38824.0,-22.56,-19.55,332.19
Demex AMM,['Carbon'],Dexs,2216,9785.0,70019.0,0.0,33.9,4003.7
CaviarNine Agg,['Radix'],DEX Aggregator,2174,49548.0,107620.0,-93.9,318.88,7.68
PiperX V2,['Story'],Dexs,2014,62935.0,252133.0,-91.71,-88.91,-94.55
Pangea Swap,['Kaia'],Dexs,1997,24377.0,130696.0,-25.79,26.55,
Axial,['Avalanche'],Dexs,1838,9377.0,69139.0,13.46,52.03,2114.46
SolidLizard Dex,['Arbitrum'],Dexs,1819,13241.0,43250.0,-12.46,-27.33,33.55
9mm V2,"['PulseChain', 'Base', 'Sonic']",Dexs,1706,18793.0,79226.0,-28.44,-72.64,28.56
DTX Dex V3,['Taiko'],Dexs,1679,3993.0,7101.0,219.2,249.79,2523.44
Chronos V1,['Arbitrum'],Dexs,1566,11483.0,53107.0,13.56,-41.17,107.97
DragonSwap V2 Kaia,['Kaia'],Dexs,1548,14019.0,82249.0,29.97,-72.61,-36.76
X3X,['World Chain'],Prediction Market,1513,11700.0,50143.0,-1.11,-27.61,35.94
Basin Exchange,"['Ethereum', 'Arbitrum']",Dexs,1361,6487.0,80879.0,87.21,-17.47,126.83
Elk,"['Arbitrum', 'Avalanche', 'BSC', 'Fantom', 'Polygon', 'Gnosis', 'Ethereum', 'OP Mainnet']",Dexs,1213,11711.0,31776.0,0.0,8.69,
Symmetric,"['Gnosis', 'Celo', 'Telos']",Dexs,1168,6050.0,18441.0,0.0,62.0,211.47
Hercules V2,['Metis'],Dexs,1145,7228.0,20788.0,0.0,-37.5,663.33
Saturn Swap,['Cardano'],Dexs,1136,16437.0,150457.0,-47.06,-75.51,-91.12
Solidly,['Fantom'],Dexs,1127,3407.0,6836.0,847.06,71.54,1533.33
SquadSwap V2,['BSC'],Dexs,1125,11608.0,47990.0,-36.08,-53.97,22.68
GT3,['Polygon'],Dexs,1074,4708.0,43953.0,30.98,-5.95,-70.24
Goblins AMM,"['smartBCH', 'BSC', 'Base']",Dexs,1074,7980.0,20690.0,-27.09,-48.09,141.35
Solarbeam,['Moonriver'],Dexs,1062,25784.0,76032.0,-77.91,-74.58,-55.99
Polaris Finance,"['Aurora', 'Telos']",Dexs,1046,5885.0,23187.0,-26.18,-67.28,119.75
